https://www.sunriver.com.tw/taiwanmap/grid_tm2_convert.php,Lat_TWD97,Lon_TWD97,Lat_TWD67,Lon_TWD67
115,24.48869207,120.6731479,24.49045,120.664965
116,24.48166217,120.6670746,24.48342,120.658892
117,24.47441264,120.6615399,24.47617,120.653358
118,24.46644741,120.6569044,24.468204,120.648723
119,24.46016661,120.6502921,24.461923,120.642111
120,24.45294846,120.6458791,24.454705,120.637698
121,24.44475309,120.6415949,24.446509,120.633415
122,24.43702252,120.6357822,24.438778,120.627602
123,24.4308038,120.6290704,24.432559,120.620891
124,24.4239207,120.6206938,24.425676,120.612515
125,24.4168584,120.6182494,24.418613,120.610071
126,24.408008,120.6149184,24.409763,120.60674
127,24.4003982,120.6096522,24.402153,120.601474
128,24.3930185,120.6039961,24.394773,120.595819
129,24.3881872,120.595692,24.389941,120.587515
130,24.3775294,120.5919091,24.379283,120.583733
131,24.3725107,120.5874719,24.374264,120.579296
132,24.3624813,120.585798,24.364235,120.577622
133,24.3547377,120.5823875,24.356491,120.574212
134,24.3465507,120.575166,24.348303,120.566991
135,24.3397021,120.5710663,24.341455,120.562892
136,24.33232851,120.5691345,24.334081,120.560961
137,24.32354178,120.5669147,24.325294,120.558741
138,24.31560441,120.5626682,24.317356,120.554495
139,24.30785266,120.5577038,24.309604,120.549531
140,24.29959684,120.5536566,24.301348,120.545485
141,24.29081844,120.5513596,24.29257,120.543188
142,24.2820146,120.549221,24.283766,120.54105
143,24.27338582,120.546388,24.275137,120.538218
144,24.26497149,120.5427776,24.266723,120.534608
145,24.25659142,120.5391737,24.258342,120.531004
146,24.248177,120.535569,24.249928,120.5274
147,24.23976411,120.5319847,24.241515,120.523816
148,24.23135145,120.5283963,24.233102,120.520228
149,24.2229415,120.5248078,24.224692,120.51664
150,24.21454205,120.521212,24.216292,120.513045
151,24.20613941,120.5176078,24.207889,120.509441
152,24.19792155,120.5134695,24.199671,120.505303
153,24.19260002,120.5055693,24.194349,120.497403
154,24.18759349,120.4973877,24.189342,120.489222
155,24.18261259,120.4891931,24.184361,120.481028
156,24.17782264,120.4809674,24.17957,120.472802
