item_num,num_code,institution,section_name,stid,stname,qpegc,qpf,alarm_level
013,0402,前鎮區,前鎮區(2),KHC013,前鎮區(2),NULL,70.00,PRE-WARNING
013,0402,前鎮區,前鎮區(2),KHC013,前鎮區(2),70.00,NULL,WARNING
013,0402,前鎮區,前鎮區(2),KHC013,前鎮區(2),NULL,70.00,WARNING
013,0402,前鎮區,前鎮區(2),KHC013,前鎮區(2),70.00,NULL,CRITICAL
013,0402,前鎮區,前鎮區(2),KHC013,前鎮區(2),NULL,70.00,CRITICAL
014,0501,大寮區,大寮區(1),KHC014,大寮區(1),60.00,NULL,PRE-WARNING
014,0501,大寮區,大寮區(1),KHC014,大寮區(1),NULL,60.00,PRE-WARNING
014,0501,大寮區,大寮區(1),KHC014,大寮區(1),60.00,NULL,WARNING
014,0501,大寮區,大寮區(1),KHC014,大寮區(1),NULL,60.00,WARNING
014,0501,大寮區,大寮區(1),KHC014,大寮區(1),60.00,NULL,CRITICAL
014,0501,大寮區,大寮區(1),KHC014,大寮區(1),NULL,60.00,CRITICAL
015,0502,大寮區,大寮區(2),KHC015,大寮區(2),60.00,NULL,PRE-WARNING
015,0502,大寮區,大寮區(2),KHC015,大寮區(2),NULL,60.00,PRE-WARNING
015,0502,大寮區,大寮區(2),KHC015,大寮區(2),60.00,NULL,WARNING
015,0502,大寮區,大寮區(2),KHC015,大寮區(2),NULL,60.00,WARNING
015,0502,大寮區,大寮區(2),KHC015,大寮區(2),60.00,NULL,CRITICAL
015,0502,大寮區,大寮區(2),KHC015,大寮區(2),NULL,60.00,CRITICAL
016,0503,大寮區,大寮區(3),KHC016,大寮區(3),60.00,NULL,PRE-WARNING
016,0503,大寮區,大寮區(3),KHC016,大寮區(3),NULL,60.00,PRE-WARNING
016,0503,大寮區,大寮區(3),KHC016,大寮區(3),60.00,NULL,WARNING
016,0503,大寮區,大寮區(3),KHC016,大寮區(3),NULL,60.00,WARNING
016,0503,大寮區,大寮區(3),KHC016,大寮區(3),60.00,NULL,CRITICAL
016,0503,大寮區,大寮區(3),KHC016,大寮區(3),NULL,60.00,CRITICAL
017,0601,大樹區,大樹區(1),KHC017,大樹區(1),60.00,NULL,PRE-WARNING
017,0601,大樹區,大樹區(1),KHC017,大樹區(1),NULL,60.00,PRE-WARNING
017,0601,大樹區,大樹區(1),KHC017,大樹區(1),60.00,NULL,WARNING
017,0601,大樹區,大樹區(1),KHC017,大樹區(1),NULL,60.00,WARNING
017,0601,大樹區,大樹區(1),KHC017,大樹區(1),60.00,NULL,CRITICAL
017,0601,大樹區,大樹區(1),KHC017,大樹區(1),NULL,60.00,CRITICAL
018,0602,大樹區,大樹區(2),KHC018,大樹區(2),60.00,NULL,PRE-WARNING
018,0602,大樹區,大樹區(2),KHC018,大樹區(2),NULL,60.00,PRE-WARNING
018,0602,大樹區,大樹區(2),KHC018,大樹區(2),60.00,NULL,WARNING
018,0602,大樹區,大樹區(2),KHC018,大樹區(2),NULL,60.00,WARNING
018,0602,大樹區,大樹區(2),KHC018,大樹區(2),60.00,NULL,CRITICAL
018,0602,大樹區,大樹區(2),KHC018,大樹區(2),NULL,60.00,CRITICAL
019,0701,大社區,大社區(1),KHC019,大社區(1),60.00,NULL,PRE-WARNING
019,0701,大社區,大社區(1),KHC019,大社區(1),NULL,60.00,PRE-WARNING
019,0701,大社區,大社區(1),KHC019,大社區(1),60.00,NULL,WARNING
019,0701,大社區,大社區(1),KHC019,大社區(1),NULL,60.00,WARNING
019,0701,大社區,大社區(1),KHC019,大社區(1),60.00,NULL,CRITICAL
019,0701,大社區,大社區(1),KHC019,大社區(1),NULL,60.00,CRITICAL
020,0702,大社區,大社區(2),KHC020,大社區(2),60.00,NULL,PRE-WARNING
020,0702,大社區,大社區(2),KHC020,大社區(2),NULL,60.00,PRE-WARNING
020,0702,大社區,大社區(2),KHC020,大社區(2),60.00,NULL,WARNING
020,0702,大社區,大社區(2),KHC020,大社區(2),NULL,60.00,WARNING
020,0702,大社區,大社區(2),KHC020,大社區(2),60.00,NULL,CRITICAL
020,0702,大社區,大社區(2),KHC020,大社區(2),NULL,60.00,CRITICAL
021,0801,小港區,小港區(1),KHC021,小港區(1),60.00,NULL,PRE-WARNING
021,0801,小港區,小港區(1),KHC021,小港區(1),NULL,60.00,PRE-WARNING
021,0801,小港區,小港區(1),KHC021,小港區(1),60.00,NULL,WARNING
021,0801,小港區,小港區(1),KHC021,小港區(1),NULL,60.00,WARNING
021,0801,小港區,小港區(1),KHC021,小港區(1),60.00,NULL,CRITICAL
021,0801,小港區,小港區(1),KHC021,小港區(1),NULL,60.00,CRITICAL
022,0802,小港區,小港區(2),KHC022,小港區(2),60.00,NULL,PRE-WARNING
022,0802,小港區,小港區(2),KHC022,小港區(2),NULL,60.00,PRE-WARNING
022,0802,小港區,小港區(2),KHC022,小港區(2),60.00,NULL,WARNING
022,0802,小港區,小港區(2),KHC022,小港區(2),NULL,60.00,WARNING
022,0802,小港區,小港區(2),KHC022,小港區(2),60.00,NULL,CRITICAL
022,0802,小港區,小港區(2),KHC022,小港區(2),NULL,60.00,CRITICAL
023,0901,岡山區,岡山區(1),KHC023,岡山區(1),60.00,NULL,PRE-WARNING
023,0901,岡山區,岡山區(1),KHC023,岡山區(1),NULL,60.00,PRE-WARNING
023,0901,岡山區,岡山區(1),KHC023,岡山區(1),60.00,NULL,WARNING
023,0901,岡山區,岡山區(1),KHC023,岡山區(1),NULL,60.00,WARNING
023,0901,岡山區,岡山區(1),KHC023,岡山區(1),60.00,NULL,CRITICAL
023,0901,岡山區,岡山區(1),KHC023,岡山區(1),NULL,60.00,CRITICAL
024,0902,岡山區,岡山區(2),KHC024,岡山區(2),60.00,NULL,PRE-WARNING
024,0902,岡山區,岡山區(2),KHC024,岡山區(2),NULL,60.00,PRE-WARNING
024,0902,岡山區,岡山區(2),KHC024,岡山區(2),60.00,NULL,WARNING
024,0902,岡山區,岡山區(2),KHC024,岡山區(2),NULL,60.00,WARNING
024,0902,岡山區,岡山區(2),KHC024,岡山區(2),60.00,NULL,CRITICAL
024,0902,岡山區,岡山區(2),KHC024,岡山區(2),NULL,60.00,CRITICAL
025,0903,岡山區,岡山區(3),KHC025,岡山區(3),60.00,NULL,PRE-WARNING
025,0903,岡山區,岡山區(3),KHC025,岡山區(3),NULL,60.00,PRE-WARNING
025,0903,岡山區,岡山區(3),KHC025,岡山區(3),60.00,NULL,WARNING
025,0903,岡山區,岡山區(3),KHC025,岡山區(3),NULL,60.00,WARNING
025,0903,岡山區,岡山區(3),KHC025,岡山區(3),60.00,NULL,CRITICAL
025,0903,岡山區,岡山區(3),KHC025,岡山區(3),NULL,60.00,CRITICAL
026,0904,岡山區,岡山區(4),KHC026,岡山區(4),60.00,NULL,PRE-WARNING
