Datetime,001,002,003,004,005,006,007,008,009,010,011
2022-10-16 09:20:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 09:30:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 09:40:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 09:50:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 10:00:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 10:10:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 10:20:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 10:30:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 10:40:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 10:50:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 11:00:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 11:10:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 11:20:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 11:30:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 11:40:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 11:50:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 12:00:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 12:10:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 12:20:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 12:30:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 12:40:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 12:50:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 13:00:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 13:10:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 13:20:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 13:30:00,0,1,0,0,0,0,0,0,0,0,0
2022-10-16 13:40:00,0,1,0,0,0,0,0,0,0,0,0
